task_id,points,type,description,regenerationTime,max_completions,user_id,instructions,min_level,categories,args,is_always_in_list
-4,0,INSERTION,Wear a collar.,0,50,all,,1,ds,,true
-3,0,INSERTION,Insert a gag,0,50,all,,1,,,true
-2,0,INSERTION,Insert a buttplug.,0,50,all,,1,,,true
-1,0,INSERTION,Insert a Dildo,0,50,all,,1,,,true
1,1,NO_CONFIRMATION,Press This Button,1,1000,all,,1,,,true
3,5,CONFIRMATION,Send a selfie,700,100,all,,4,,,true
4,10,CONFIRMATION,Listen to an Audio file,90,1000,all,,4,,,true
5,10,TIMER,Edge for 5 minutes.,90,100,all,Spread your legs. Bring yourself to the brink of orgasm. Get as close as you can. stop. Start again. Stop. Start again. Think of me. Do not cum.,2,,"{""targetDurationSeconds"":300}",true
6,2,INPUT,Tell Them a compliment about yourself.,720,100,all,,1,,,true
9,10,CONFIRMATION,Flash your tits.,700,50,all,,5,,,true
10,10,TIMER,Edge for 20 seconds.,5,100,all,Spread your legs. Bring yourself to the brink of orgasm. Get as close as you can. stop. Start again. Stop. Start again. Think of me. Do not cum.,2,,"{""targetDurationSeconds"":20}",true
11,5,TIMER,Hold breath for 30 seconds.,120,100,all,Hold breath for 30 seconds.,3,,"{""targetDurationSeconds"":30}",true
12,5,AFFIRMATION,I'm good at Obeying,90,100,all,,1,,"{""confirmMessage"":""Yes,Sir""}",true
13,5,AFFIRMATION,Good girls Drop.,90,100,all,,4,,"{""confirmMessage"":""Yes,Sir""}",true
16,20,CONFIRMATION,Show proof both the toys are inside you.,1400,20,all,,6,,,true
17,5,CONFIRMATION,Describe to Them your most recent sexual fantasy.,1400,50,all,,6,,,true
19,100,CONFIRMATION,Send your tits to someone who's never seen them before. Screenshot their response and send to me.,1,3,all,,7,,,true
20,50,CONFIRMATION,Offer Them something in exchange for 50 points.,1400,50,all,,3,,,true
21,100,CONFIRMATION,Offer Them something in exchange for 100 points.,1400,50,all,,3,,,true
22,15,CONFIRMATION,Show Them your outfit for today and get Their approval.,1400,50,all,,4,,,true
23,10,CONFIRMATION,Go without a bra today. Show proof by sending an outfit picture or flashing your tits after leaving the house.,1000,50,all,,6,,,true
24,20,CONFIRMATION,"Wear a short skirt, no panties. Show proof before leaving the house.",1000,15,all,,6,,,true
26,20,CONFIRMATION,I have gone all day without letting myself cum.,1000,50,all,,4,,,true
28,50,CONFIRMATION,"With a scissors, cut an 'easy access' slit into the crotch of a pair of yoga pants or leggings. Show proof.",1,5,all,,5,,,true
29,5,NO_CONFIRMATION,Pinch and twist your nipple as hard as you can.,180,25,all,,3,,,true
30,50,CONFIRMATION,Fill your cunt with a household object - something you've never put inside you before. Show them.,1400,5,all,,5,,,true
31,5,CONFIRMATION,Offer someone a drink.,1400,100,all,,1,,,true
33,20,TIMER,Spank yourself 20 times. (1 for each second.),1400,20,all,"Spank yourself 20 times. (1 per second). If able, count out loud for each one.",4,,"{""targetDurationSeconds"":20}",true
34,5,CONFIRMATION,Politely ask Them for a task to do.,1400,50,all,,2,,,true
35,3,CONFIRMATION,Drink a glass of water.,1400,200,all,,1,,,true
36,5,CONFIRMATION,Cook a meal for Them.,1400,50,all,,3,,,true
37,5,CONFIRMATION,Politely ask Them for the opportunity to give oral sex. Act like they're doing you a favor.,1400,50,all,,5,,,true
38,5,INPUT,Tell Them an intimate secret.,1400,50,all,,2,,,true
41,5,CONFIRMATION,Silently clean around the area They are currently sitting.,1400,100,all,,3,,,true
42,1,SENDREPORT,Click this to send Them a report.,700,10,all,,1,,,true
43,5,NO_CONFIRMATION,"Silently Kneel at Their feet, while they are working or relaxing.",1400,50,all,,1,,,true
44,5,NO_CONFIRMATION,This is just to keep you working hard. :),1400,1,all,,99,,,true
45,5,CONFIRMATION,"Run, walk or lift for 30 minutes.",1400,100,all,,1,,"{""targetDurationSeconds"":1800}",true
46,20,TIMER,Practice your gag reflex. Choke and gag yourself with two fingers. Thrust hard.,1400,50,all,Fuck your mouth for me.,1,,"{""targetDurationSeconds"":30}",true
47,5,INPUT,Write Them a short erotic story.,1400,5,all,,1,,,true
48,5,CONFIRMATION,Write something positive on your body with sharpie.,1400,50,all,,1,,,true
49,5,NO_CONFIRMATION,Write Them a roleplay response.,1400,50,all,,1,,,true
50,30,AUDIO,Lesson 2: The Magic of Saying Yes.,1400,50,all,,1,,"{""fileId"":1}",true
51,1,NO_CONFIRMATION,Open your User Profile by clicking the circle at the bottom-left!,1400,1,all,,1,,,true
52,5,PUSH_NOTIF_SUB,"Click to Subscribe, get reminders to do your tasks!",1,1,all,,1,,,true
54,1,CONFIRMATION,I had a healthy meal.,1,50,all,,1,,,false